"Gemeente_Naam";"Municipality_code";"inwoners";"gemeente_getal";"provincie";"volledige.vaccinatie";"incidentie"
"Drechterland";"GM0498";19720;146;"Noord-Holland";71;6,51984931903796
"Drimmelen";"GM1719";27272;299;"Noord-Brabant";79;7,33352889410384
"Dronten";"GM0303";41555;83;"Flevoland";71;5,84423397562611
"Druten";"GM0225";18926;53;"Gelderland";78;3,77409761326067
"Duiven";"GM0226";25126;54;"Gelderland";78;10,8026972629377
"Echt-Susteren";"GM1711";31610;297;"Limburg";75;13,1061598951507
"Edam-Volendam";"GM0385";36197;115;"Noord-Holland";63;13,8132994447054
"Ede";"GM0228";117166;55;"Gelderland";67;18,5329239833106
"Eemnes";"GM0317";9247;89;"Utrecht";76;6,17961037556582
"Eemsdelta";"GM1979";45609;352;"Groningen";74;5,95120637217592
"Eersel";"GM0770";19314;209;"Noord-Brabant";79;5,17759138448794
"Eijsden-Margraten";"GM1903";25768;327;"Limburg";82;9,97915465472125
"Eindhoven";"GM0772";234400;210;"Noord-Brabant";68;14,870794734276
"Elburg";"GM0230";23161;56;"Gelderland";69;20,3544135153306
"Emmen";"GM0114";107048;20;"Drenthe";74;21,0853342158925
"Enkhuizen";"GM0388";18591;116;"Noord-Holland";67;6,14736777396129
"Enschede";"GM0153";159642;27;"Overijssel";66;22,1030269513751
"Epe";"GM0232";33179;57;"Gelderland";74;11,6252534951109
"Ermelo";"GM0233";27008;58;"Gelderland";69;14,8104265402844
"Etten-Leur";"GM0777";43878;211;"Noord-Brabant";76;7,48829546860451
"Geertruidenberg";"GM0779";21545;212;"Noord-Brabant";76;11,9351523389583
"Geldrop-Mierlo";"GM1771";39727;311;"Noord-Brabant";74;8,27073347021997
"Gemert-Bakel";"GM1652";30723;274;"Noord-Brabant";76;7,90473400570071
"Gennep";"GM0907";16921;248;"Limburg";74;3,3770378312663
"Gilze en Rijen";"GM0784";26431;213;"Noord-Brabant";76;7,56687223336234
"Goeree-Overflakkee";"GM1924";50049;331;"Zuid-Holland";70;9,41934047490602
"Goes";"GM0664";38082;186;"Zeeland";74;10,8787803761807
"Goirle";"GM0785";23906;214;"Noord-Brabant";79;4,78062889173071
