Gemeentecode;Gemeentenaam;aantal_inwoners;gemeente_getal
GM1901;Bodegraven-Reeuwijk;34872;330
GM1903;Eijsden-Margraten;25768;331
GM1904;Stichtse Vecht;64933;332
GM1911;Hollands Kroon;48432;333
GM1916;Leidschendam-Voorburg;76534;334
GM1924;Goeree-Overflakkee;50049;335
GM1926;Pijnacker-Nootdorp;55308;336
GM1930;Nissewaard;85220;337
GM1931;Krimpenerwaard;56319;338
GM1940;De Fryske Marren;51564;339
GM1942;Gooise Meren;58055;340
GM1945;Berg en Dal;34992;341
GM1948;Meierijstad;81197;342
GM1949;Waadhoeke;46090;343
GM1950;Westerwolde;25733;344
GM1952;Midden-Groningen;60797;345
GM1954;Beekdaelen;35938;346
GM1955;Montferland;36011;347
GM1959;Altena;55967;348
GM1960;West Betuwe;51128;349
GM1961;Vijfheerenlanden;56811;350
GM1963;Hoeksche Waard;87402;351
GM1966;Het Hogeland;47803;352
GM1969;Westerkwartier;63330;353
GM1970;Noardeast-Fryslân;45228;354
GM1978;Molenlanden;43909;355
